id,datum,duur,Video,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V2a,V2b,V3,V4_1,V4_2,V4_3,V4_4,V4_5,V4_6,V5_1,V5_2,GL_pre,V5_4,PVV_pre,SP_pre,V5_7,V5_8,leftright,V7_1,V7_2,V7_3,V7_4,V7_5,V7_6,V7_7,V7_8,V7_9,V8_1,V8_2,V8_3,V8_4,V8_5,V8_6,V9_1,V9_2,V9_3,V9_4,V9_5,V9_6,V9_7,V9_8,V9_9,V9_10,V10_1,V10_2,V10_3,V10_4,V10_5,V10_6,V11,V12_1,V12_2,V12_3,V12_4,V12_5,V12_6,V12_7,V12_8,V12_9,V12_10,V12_11,V12_12,V13_1,V13_2,V13_3,V13_4,V13_5,V13_6,V13_7,V13_8,V14_1,V14_2,GL_post,V14_4,PVV_post,SP_post,V14_7,V14_8,V15,V16_1,V16_2,V16_3,V16_4,V16_5,V16_6,V16_7,V16_8,V16_9,V16_10,V16_11,V16_12,V16_13,V16_14,V16_15,V16_16,V16_17,V16_18,V16_open,V17_1,V17_2,V17_3,V17_4,V17_5,V17_6,V17_7,V17_8,V17_9,V17_10,V17_11,V17_12,V17_13,V17_14,V17_15,V17_16,V17_17,geslacht,geboortedatum,geboortejaar,lft4,opleiding,opl3,pcc,gemnr,provincie,werksituatie,TK2017,Geboorteland_zelf,Geboorteland_vader,Geboorteland_moeder,video_2,video_3,video_4,V4_2B,V4_5B,INDEX_CYNICISM,INDEX_POPULISM,INDEX_POPULISM2,V7_3B,V7_6B,V7_7B,INDEX_MIGRATION,INDEX_CLIMATE,INDEX_HEALTH,INDEX_AUTHO,POS_AFFECT,NEG_AFFECT,FEAR,ANGER,BIG5_O,BIG5_C,BIG5_E,BIG5_A,BIG5_N,catchvar,beeld,tekst,stem
0011fc290882f9b4ed49f6c2ac98d2ec,28-Jun-17,13,4,0,1,1,0,1,0,1,0,0,0,3,2,3,2,4,2,2,3,4,16,10,16,14,1,10,10,22,2,1,1,5,4,5,1,4,3,4,4,4,2,4,2,2,4,4,3,2,4,3,3,4,2,1,4,5,5,4,3,2,3,8,11,9,1,1,2,8,2,1,1,9,1,20,18,20,15,12,20,18,20,17,11,17,14,1,12,11,22,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,16-Aug-54,#NULL!,3,4,2,2411,1901,28,5,8,1,1,1,2,1,2,2,3,-3,-4,-2,1,5,2,-6.00,5.00,0.00,7.00,3,1,1,4,1,2,-1,3,-1,1,0,0,0
003281631fd71f557d460f6fa3147925,29-Jun-17,12,5,0,1,0,0,0,0,1,0,0,0,4,#NULL!,3,3,2,4,4,3,4,10,13,4,9,4,4,18,4,6,2,4,3,4,4,2,4,4,4,5,5,4,4,3,4,3,4,2,4,4,4,4,4,2,1,4,5,5,4,4,4,3,3,16,16,6,6,6,14,10,7,7,10,14,19,8,19,19,19,19,8,19,10,13,4,4,4,4,18,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,29-Oct-42,1942,4,2,1,1934,373,27,8,1,1,1,1,2,2,9,4,3,4,6,5,3,4,2,0.00,3.00,1.00,11.00,5,4,6,10,0,2,1,3,-2,1,0,0,0
004bc7429a5f4f7646a9f903ce1104da,28-Jun-17,11,7,0,1,0,0,0,0,1,1,0,0,3,#NULL!,2,5,4,4,5,1,5,1,1,8,5,2,17,1,17,3,3,5,1,3,4,3,3,4,5,5,5,4,5,5,5,3,5,2,3,4,4,4,4,3,1,1,1,5,5,2,3,1,1,1,13,5,19,19,5,1,1,8,19,11,21,2,9,17,19,19,8,19,1,1,8,8,2,17,1,17,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,14-Feb-44,1944,4,2,1,4131,620,26,8,10,1,1,1,3,1,3,2,5,8,14,10,5,3,3,4.00,1.00,3.00,11.00,1,6,11,16,1,2,1,3,-2,1,1,1,0
005a1f554078d3f538f45b92293166bd,28-Jun-17,15,9,0,1,1,1,1,0,0,0,0,0,#NULL!,3,3,4,4,4,4,2,3,10,21,21,20,18,21,10,10,7,4,4,2,3,4,4,4,5,4,5,5,2,5,2,4,4,3,2,4,3,4,3,2,4,1,5,5,5,4,2,2,1,1,12,1,12,12,12,1,1,1,1,1,1,21,12,12,21,19,21,17,21,12,21,21,20,19,21,11,15,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,17-Jun-44,#NULL!,4,3,1,1601,388,27,10,11,1,1,1,3,3,9,2,4,3,5,3,4,2,2,3.00,0.00,2.00,9.00,1,3,8,5,0,-1,-1,2,0,1,0,0,0
005b9cb7d317999930483cb1a8f046a1,28-Jun-17,23,8,0,1,1,1,0,1,1,1,0,0,4,4,1,2,4,2,3,2,3,13,17,13,15,1,9,15,7,4,1,3,3,1,4,1,3,3,2,1,1,2,4,2,3,2,4,2,4,4,4,4,4,2,1,5,5,5,3,1,4,1,1,21,1,13,20,21,21,1,1,11,16,16,1,7,4,7,7,1,7,4,9,20,9,14,1,4,14,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,26-Oct-44,#NULL!,4,3,1,9247,86,21,11,4,1,1,1,3,2,9,2,4,-2,-2,-1,3,5,3,-2.00,1.00,-1.00,1.00,3,8,15,17,0,2,2,3,-2,1,0,0,0
006a033ac2ef9afc3bfd163d6edf33e2,03-Jul-17,8,5,0,1,0,0,1,1,0,0,0,0,#NULL!,3,1,4,4,2,4,2,4,10,9,17,15,1,12,5,3,2,1,2,5,5,4,2,4,5,2,2,4,1,2,1,4,3,5,4,1,4,5,3,3,4,3,4,5,5,2,1,1,3,2,2,2,2,2,2,2,2,2,2,7,3,18,19,18,16,17,19,19,16,10,8,17,15,1,12,5,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,09-Mar-99,#NULL!,1,5,2,8701,1900,21,9,5,1,1,1,2,2,9,2,4,2,0,-2,1,4,2,-5.00,4.00,0.00,4.00,1,1,2,4,4,1,0,1,1,1,0,0,0
00b04a90334342a2e54da998f40f5272,03-Jul-17,239,7,0,0,0,1,0,0,0,1,0,0,1,2,2,4,4,5,3,4,5,6,12,9,6,17,6,12,6,5,6,4,2,6,4,4,4,4,4,1,6,6,3,6,6,3,3,1,2,4,4,4,4,3,1,4,4,4,6,1,1,1,1,1,16,1,1,4,1,1,1,1,10,1,16,21,13,16,14,17,7,13,7,10,11,9,16,7,9,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,07-May-90,1990,1,6,3,1851,399,27,7,13,1,1,1,3,1,3,2,2,3,#NULL!,#NULL!,4,2,2,#NULL!,#NULL!,1.00,#NULL!,1,1,2,4,2,0,1,3,-3,1,0,0,0
00b85282f19d8f870e72e94e33003c16,28-Jun-17,30,5,0,1,1,0,0,0,1,0,0,0,3,#NULL!,1,1,5,1,1,5,2,7,19,1,1,1,20,7,1,1,1,1,5,5,5,4,5,5,4,5,5,5,1,4,4,4,5,1,1,4,4,5,4,2,1,5,5,5,5,5,6,3,1,20,20,4,20,20,21,21,1,1,21,1,21,21,21,21,14,21,21,21,6,14,21,21,1,21,10,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,05-Aug-40,#NULL!,4,2,1,4184,304,25,8,7,1,1,1,2,2,9,1,1,-11,-11,-7,1,2,1,-6.00,3.00,1.00,12.00,7,5,8,14,3,3,1,3,-3,1,0,0,0
00f678777363ce7172272f0806977615,28-Jun-17,22,8,0,1,0,0,0,0,1,0,0,0,4,#NULL!,1,4,3,4,5,3,4,8,4,4,8,13,10,10,4,4,4,5,2,3,4,3,3,3,4,4,5,4,5,4,4,4,4,3,4,5,4,4,4,4,1,4,5,5,3,1,1,1,1,4,4,5,3,6,1,1,1,2,4,2,21,21,21,21,10,21,21,21,4,3,3,6,12,8,4,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,02-Apr-40,1940,4,3,1,3329,505,28,8,13,1,1,1,3,2,9,3,3,5,9,6,4,3,3,4.00,1.00,1.00,10.00,1,1,4,3,0,0,0,4,-1,1,0,0,0
012165b756a4f97e4a6002716e060082,05-Jul-17,13,2,0,1,1,0,0,0,0,0,0,0,#NULL!,#NULL!,3,3,4,2,3,4,3,11,14,16,14,1,14,11,11,2,2,2,4,5,5,1,3,4,4,4,5,2,4,3,4,4,4,5,4,5,3,2,2,4,1,4,5,5,1,1,1,2,1,1,3,1,17,10,1,1,1,1,18,10,20,16,17,17,3,20,17,15,11,15,18,15,1,15,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,26-Feb-68,1968,2,4,2,4251,870,30,3,9,1,1,1,1,2,9,2,2,-3,-1,-1,2,5,3,-3.00,6.00,2.00,8.00,0,4,4,15,-1,0,-2,4,3,1,0,0,0
